id,serie,data,valor,carregado_em
587,selic_diaria,2023-03-17,0.050788,2026-06-08T22:24:09.937868
588,selic_diaria,2023-03-20,0.050788,2026-06-08T22:24:09.937868
589,selic_diaria,2023-03-21,0.050788,2026-06-08T22:24:09.937868
590,selic_diaria,2023-03-22,0.050788,2026-06-08T22:24:09.937868
591,selic_diaria,2023-03-23,0.050788,2026-06-08T22:24:09.937868
592,selic_diaria,2023-03-24,0.050788,2026-06-08T22:24:09.937868
593,selic_diaria,2023-03-27,0.050788,2026-06-08T22:24:09.937868
594,selic_diaria,2023-03-28,0.050788,2026-06-08T22:24:09.937868
595,selic_diaria,2023-03-29,0.050788,2026-06-08T22:24:09.937868
596,selic_diaria,2023-03-30,0.050788,2026-06-08T22:24:09.937868
597,selic_diaria,2023-03-31,0.050788,2026-06-08T22:24:09.937868
598,selic_diaria,2023-04-03,0.050788,2026-06-08T22:24:09.937868
599,selic_diaria,2023-04-04,0.050788,2026-06-08T22:24:09.937868
600,selic_diaria,2023-04-05,0.050788,2026-06-08T22:24:09.937868
601,selic_diaria,2023-04-06,0.050788,2026-06-08T22:24:09.937868
602,selic_diaria,2023-04-10,0.050788,2026-06-08T22:24:09.937868
603,selic_diaria,2023-04-11,0.050788,2026-06-08T22:24:09.937868
604,selic_diaria,2023-04-12,0.050788,2026-06-08T22:24:09.937868
605,selic_diaria,2023-04-13,0.050788,2026-06-08T22:24:09.937868
606,selic_diaria,2023-04-14,0.050788,2026-06-08T22:24:09.937868
607,selic_diaria,2023-04-17,0.050788,2026-06-08T22:24:09.937868
608,selic_diaria,2023-04-18,0.050788,2026-06-08T22:24:09.937868
609,selic_diaria,2023-04-19,0.050788,2026-06-08T22:24:09.937868
610,selic_diaria,2023-04-20,0.050788,2026-06-08T22:24:09.937868
611,selic_diaria,2023-04-24,0.050788,2026-06-08T22:24:09.937868
612,selic_diaria,2023-04-25,0.050788,2026-06-08T22:24:09.937868
613,selic_diaria,2023-04-26,0.050788,2026-06-08T22:24:09.937868
614,selic_diaria,2023-04-27,0.050788,2026-06-08T22:24:09.937868
615,selic_diaria,2023-04-28,0.050788,2026-06-08T22:24:09.937868
616,selic_diaria,2023-05-02,0.050788,2026-06-08T22:24:09.937868
617,selic_diaria,2023-05-03,0.050788,2026-06-08T22:24:09.937868
618,selic_diaria,2023-05-04,0.050788,2026-06-08T22:24:09.937868
619,selic_diaria,2023-05-05,0.050788,2026-06-08T22:24:09.937868
620,selic_diaria,2023-05-08,0.050788,2026-06-08T22:24:09.937868
621,selic_diaria,2023-05-09,0.050788,2026-06-08T22:24:09.937868
622,selic_diaria,2023-05-10,0.050788,2026-06-08T22:24:09.937868
623,selic_diaria,2023-05-11,0.050788,2026-06-08T22:24:09.937868
624,selic_diaria,2023-05-12,0.050788,2026-06-08T22:24:09.937868
625,selic_diaria,2023-05-15,0.050788,2026-06-08T22:24:09.937868
626,selic_diaria,2023-05-16,0.050788,2026-06-08T22:24:09.937868
627,selic_diaria,2023-05-17,0.050788,2026-06-08T22:24:09.937868
